segment	time	rtt	rttvar	srtt	rto
218	0.056599	8.3032	2.87539	6.01574	200
219	0.0566639	8.2702	2.87151	6.02279	200
220	0.0567417	8.23362	2.86749	6.02953	200
221	0.056807	8.26188	2.86361	6.03634	200
222	0.0568709	8.18345	2.85924	6.04288	200
223	0.0569387	8.13296	2.85455	6.04925	200
224	0.0570016	8.10306	2.84967	6.05552	200
225	0.05708	8.08923	2.8447	6.06172	200
226	0.0571452	8.12844	2.83995	6.06802	200
227	0.0572102	8.09342	2.83499	6.07419	200
228	0.0572861	8.06794	2.82986	6.08027	200
229	0.0573514	8.05887	2.82467	6.0863	200
230	0.0574442	8.0673	2.81964	6.0922	200
231	0.0575189	8.06912	2.81463	6.09808	200
232	0.0575842	8.11727	2.80989	6.10409	200
233	0.05765	8.1045	2.80507	6.11005	200
234	0.0577153	8.09084	2.80017	6.11594	200
235	0.0577941	8.08583	2.79523	6.1218	200
236	0.0578617	8.06394	2.79015	6.12758	200
237	0.0579264	8.11278	2.78536	6.13349	200
238	0.0579939	8.10373	2.7805	6.13936	200
239	0.0580595	8.09179	2.77558	6.14517	200
240	0.0581247	8.07992	2.77057	6.15092	200
241	0.0582048	8.08638	2.76572	6.15655	200
242	0.0582688	8.07628	2.7608	6.16213	200
243	0.0583335	8.12361	2.75615	6.16783	200
244	0.058396	8.1097	2.75142	6.17348	200
245	0.0584796	8.11371	2.7467	6.17912	200
246	0.0585895	8.13445	2.7421	6.1848	200
247	0.0586729	8.14057	2.73753	6.19049	200
248	0.0587419	8.19183	2.73325	6.19631	200
249	0.0588097	8.18172	2.7289	6.20208	200
250	0.0588747	8.16963	2.72447	6.2078	200
251	0.0589588	8.17615	2.72018	6.21339	200
252	0.0590332	8.15438	2.71575	6.2189	200
253	0.0590968	8.11971	2.71112	6.2243	200
254	0.0591618	8.16118	2.70672	6.22981	200
255	0.0592288	8.12015	2.70208	6.23518	200
256	0.0592934	8.08633	2.69725	6.24043	200
257	0.0593739	8.05911	2.69225	6.2456	200
258	0.0594433	8.02115	2.68705	6.25065	200
259	0.0595101	8.0663	2.68209	6.2558	200
260	0.0595781	8.02501	2.67691	6.26083	200
261	0.059646	7.98761	2.67151	6.26574	200
262	0.0597141	7.94142	2.66585	6.2705	200
263	0.0597961	7.91416	2.66017	6.27506	200
264	0.0598634	7.86973	2.65425	6.27949	200
265	0.0599317	7.90987	2.64856	6.28402	200
266	0.059999	7.86079	2.64261	6.2884	200
267	0.0600663	7.81225	2.63639	6.29263	200
268	0.0601503	7.78079	2.63002	6.29677	200
269	0.0602177	7.73643	2.6234	6.30077	200
270	0.0602866	7.69039	2.61655	6.30463	200
271	0.0603556	7.73637	2.60997	6.3086	200
272	0.0604229	7.68308	2.6031	6.31242	200
273	0.060494	7.63215	2.59597	6.31609	200
274	0.0605766	7.60325	2.58886	6.31958	200
275	0.0606434	7.30371	2.58014	6.32226	200
276	0.0607112	7.0916	2.5703	6.32435	200
277	0.0607784	7.13006	2.56071	6.32654	200
278	0.0608439	6.9118	2.54997	6.32813	200
279	0.0609114	6.73141	2.5383	6.32923	200
280	0.0609908	6.56621	2.5258	6.32987	200
281	0.0610588	6.28235	2.51233	6.32974	200
282	0.0611263	6.11295	2.49985	6.32915	200
283	0.0611986	6.15504	2.48721	6.32868	200
284	0.0612614	5.97346	2.47562	6.32771	200
285	0.0613218	5.79524	2.46506	6.32627	200
286	0.0613945	5.65207	2.45554	6.32447	200
287	0.0614553	5.54054	2.44665	6.32239	200
288	0.0615166	5.58187	2.43757	6.32042	200
289	0.0615755	5.5682	2.42861	6.31842	200
290	0.0616352	5.56124	2.41972	6.3164	200
291	0.0617204	5.58026	2.41076	6.31445	200
292	0.0617818	5.57404	2.40188	6.31248	200
293	0.0618432	5.56904	2.39305	6.3105	200
294	0.0619044	5.56615	2.38429	6.30852	200
295	0.0619652	5.61003	2.37532	6.30666	200
296	0.0620257	5.58947	2.3665	6.30475	200
297	0.0621002	5.59746	2.35786	6.30291	200
298	0.0621623	5.59657	2.34926	6.30107	200
299	0.0622239	5.59281	2.34071	6.29923	200
300	0.0622853	5.59001	2.33221	6.29738	200
301	0.062345	5.63616	2.32351	6.29566	200
302	0.0624056	5.63196	2.31486	6.29393	200
303	0.0624956	5.6567	2.30613	6.29227	200
304	0.0625641	5.65806	2.29742	6.29062	200
305	0.0626262	5.65675	2.28875	6.28897	200
306	0.0626859	5.65285	2.28015	6.28731	200
307	0.0627465	5.69924	2.27133	6.28578	200
308	0.0628064	5.69497	2.26258	6.28424	200
309	0.0628696	5.69102	2.25389	6.2827	200
310	0.0629427	5.7006	2.24536	6.28121	200
311	0.0630021	5.68314	2.23695	6.27969	200
312	0.0630621	5.67554	2.22862	6.27815	200
313	0.0631231	5.71658	2.22012	6.27671	200
314	0.0631828	5.70627	2.2117	6.27526	200
315	0.0632432	5.69177	2.20339	6.27377	200
316	0.0633192	5.70225	2.19507	6.27231	200
317	0.0633802	5.69945	2.18679	6.27085	200
318	0.0634416	5.69467	2.17857	6.26938	200
319	0.0635008	5.74066	2.17015	6.26803	200
320	0.0635603	5.73205	2.16182	6.26667	200
321	0.0636198	5.72623	2.15354	6.26529	200
322	0.0636943	5.73678	2.14542	6.26397	200
323	0.0637558	5.72759	2.13737	6.26262	200
324	0.0638161	5.72532	2.12937	6.26128	200
325	0.0638771	5.71956	2.12144	6.25993	200
326	0.0639386	5.76742	2.11329	6.2587	200
327	0.0639999	5.76391	2.1052	6.25746	200
328	0.0640721	5.77145	2.0971	6.25624	200
329	0.0641355	5.77086	2.08904	6.25503	200
330	0.0641952	5.76735	2.08104	6.25381	200
331	0.0642553	5.73698	2.07322	6.25252	200
332	0.064316	5.77684	2.06523	6.25133	200
333	0.0643763	5.74724	2.05742	6.25007	200
334	0.0644488	5.7419	2.04983	6.24882	200
335	0.0645101	5.73515	2.0423	6.24756	200
336	0.0645841	5.74178	2.03477	6.24633	200
337	0.064647	5.73698	2.02729	6.24508	200
338	0.0647168	5.79138	2.01957	6.24396	200
339	0.0647804	5.78777	2.01191	6.24285	200
340	0.0648465	5.78149	2.00431	6.24172	200
341	0.0649481	5.817	1.99657	6.24067	200
342	0.0650275	5.82908	1.9888	6.23967	200
343	0.0651068	5.84358	1.98099	6.2387	200
344	0.065198	5.86849	1.97309	6.23779	200
345	0.0652769	5.93778	1.96489	6.23705	200
346	0.0653589	5.94907	1.95667	6.23635	200
347	0.0654405	5.96398	1.94858	6.23569	200
348	0.0655054	5.96301	1.94052	6.23504	200
349	0.0655675	5.95701	1.93253	6.23437	200
350	0.0656351	5.95709	1.92457	6.2337	200
351	0.065696	5.94986	1.91668	6.23302	200
352	0.0657573	5.9973	1.9086	6.23245	200
353	0.0658199	5.99103	1.90058	6.23187	200
354	0.0658937	5.99769	1.89257	6.23131	200
355	0.0659597	5.99526	1.88461	6.23074	200
356	0.0660207	5.98955	1.87671	6.23016	200
357	0.0660815	5.98396	1.86887	6.22957	200
358	0.0661453	6.03174	1.86083	6.22909	200
359	0.0662071	6.02519	1.85287	6.2286	200
360	0.0662811	6.03107	1.84506	6.22814	200
361	0.0663426	6.02379	1.83732	6.22766	200
362	0.0664044	6.01762	1.82964	6.22716	200
363	0.0664811	6.02415	1.82197	6.22668	200
364	0.0665435	6.01891	1.81436	6.22619	200
365	0.0666043	6.06474	1.80656	6.22581	200
366	0.0666664	6.05809	1.79883	6.22542	200
367	0.0667436	6.0683	1.79109	6.22505	200
368	0.0668063	6.06353	1.7834	6.22466	200
369	0.0668721	6.06214	1.77575	6.22428	200
370	0.0669343	6.0581	1.76816	6.22389	200
371	0.066996	6.0542	1.76062	6.22349	200
372	0.067057	6.10186	1.75289	6.2232	200
373	0.0671189	6.09661	1.74522	6.2229	200
374	0.0671948	6.10437	1.73769	6.22263	200
375	0.0672576	6.08922	1.73026	6.22232	200
376	0.0673189	6.08926	1.72287	6.22201	200
377	0.0673811	6.08973	1.7155	6.22171	200
378	0.0674625	6.10691	1.70809	6.22144	200
379	0.0675608	6.19064	1.70033	6.22137	200
380	0.06766	6.23141	1.6925	6.22139	200
381	0.0677653	6.27717	1.68492	6.22152	200
382	0.067846	6.29827	1.67748	6.2217	200
383	0.0679266	6.32032	1.67017	6.22193	200
384	0.068011	6.33243	1.66295	6.22218	200
385	0.0681113	6.41663	1.65615	6.22263	200
386	0.0682016	6.44572	1.64952	6.22315	200
387	0.0683126	6.49526	1.64325	6.22377	200
388	0.0684029	6.5255	1.63716	6.22445	200
389	0.0684901	6.5535	1.63121	6.2252	200
390	0.0685817	6.57806	1.6254	6.226	200
391	0.0686721	6.61171	1.61976	6.22688	200
392	0.0687541	6.68453	1.61448	6.22792	200
393	0.0688342	6.70183	1.6093	6.229	200
394	0.0689378	6.74249	1.60432	6.23016	200
395	0.0690245	6.76554	1.59946	6.23138	200
396	0.069148	6.82854	1.5949	6.23274	200
397	0.0692357	6.85747	1.59049	6.23416	200
398	0.0693235	6.87498	1.58618	6.23562	200
399	0.0694096	6.94878	1.58221	6.23724	200
400	0.0695015	6.97237	1.57836	6.23891	200
401	0.06959	6.99393	1.57468	6.24059	200
402	0.0696547	6.99899	1.57104	6.24228	200
403	0.0697275	7.01123	1.56746	6.244	200
404	0.0697937	7.01669	1.56391	6.24573	200
405	0.069859	7.02372	1.5604	6.24746	200
406	0.0699229	7.02458	1.5569	6.2492	200
407	0.069986	7.07565	1.55364	6.25104	200
408	0.0700622	7.09096	1.55046	6.25292	200
409	0.0701288	7.0975	1.5473	6.2548	200
410	0.0701927	7.10112	1.54418	6.25669	200
411	0.0702568	7.10526	1.54107	6.25859	200
412	0.0703201	7.10796	1.53798	6.26048	200
413	0.070386	7.11369	1.53493	6.26239	200
414	0.0704641	7.17626	1.53215	6.26443	200
415	0.0705418	7.19346	1.52951	6.26646	200
416	0.0706086	7.20008	1.52689	6.26851	200
417	0.0706723	7.20243	1.52429	6.27056	200
418	0.0707362	7.20697	1.52171	6.27261	200
419	0.0707994	7.2108	1.51916	6.27467	200
420	0.070863	7.21469	1.51662	6.27673	200
421	0.0709261	7.26472	1.5143	6.2789	200
422	0.0709918	7.26811	1.51199	6.28107	200
423	0.0710701	7.28546	1.50977	6.28327	200
424	0.071137	7.29072	1.50756	6.28548	200
425	0.0712125	7.30618	1.50543	6.28772	200
426	0.0712755	7.30704	1.5033	6.28995	200
427	0.0713367	7.30782	1.50117	6.29218	200
428	0.0713972	7.35744	1.49926	6.29452	200
429	0.0714575	7.35471	1.49733	6.29685	200
430	0.0715301	7.36595	1.49548	6.29915	200
431	0.0715919	7.36799	1.49365	6.30145	200
432	0.0716526	7.36885	1.49181	6.30375	200
433	0.071714	7.36968	1.48997	6.30605	200
434	0.0717753	7.37064	1.48814	6.30835	200
435	0.0718379	7.42046	1.48652	6.31074	200
436	0.0719009	7.42288	1.4849	6.31314	200
437	0.0719767	7.43807	1.48335	6.31556	200
438	0.0720381	7.42529	1.48174	6.31796	200
439	0.0721016	7.42118	1.48011	6.32033	200
440	0.0721632	7.41706	1.47846	6.3227	200
441	0.0722357	7.42711	1.47685	6.32508	200
442	0.0722959	7.41696	1.47519	6.32743	200
443	0.0723565	7.458	1.4737	6.32987	200
444	0.0724302	7.44857	1.4722	6.33224	200
445	0.0724905	7.43047	1.47061	6.33456	200
446	0.0725523	7.4111	1.46894	6.33684	200
447	0.0726127	7.38094	1.46714	6.33906	200
448	0.0726736	7.36283	1.46526	6.34123	200
449	0.0727341	7.3445	1.46331	6.34335	200
450	0.072797	7.3938	1.46156	6.34558	200
451	0.0728564	7.38748	1.45978	6.34778	200
452	0.0729366	7.40233	1.45806	6.35002	200
453	0.0729993	7.39874	1.45633	6.35224	200
454	0.0730594	7.39608	1.45458	6.35445	200
455	0.0731188	7.39434	1.45282	6.35665	200
456	0.0731785	7.39267	1.45106	6.35885	200
457	0.0732377	7.38991	1.44928	6.36103	200
458	0.0732975	7.43757	1.4477	6.36331	200
459	0.073368	7.4459	1.44618	6.36557	200
460	0.0734285	7.44121	1.44463	6.36781	200
461	0.0734879	7.4396	1.44308	6.37004	200
462	0.0735477	7.43669	1.44151	6.37227	200
463	0.0736079	7.43474	1.43993	6.37448	200
464	0.073668	7.43334	1.43834	6.37669	200
465	0.0737278	7.48142	1.43695	6.37899	200
466	0.0737879	7.47901	1.43555	6.38128	200
467	0.0738614	7.49097	1.43419	6.38359	200
468	0.0739288	7.48648	1.43281	6.38589	200
469	0.0739885	7.47908	1.4314	6.38817	200
470	0.0740478	7.47638	1.42997	6.39043	200
471	0.0741076	7.47533	1.42853	6.39269	200
472	0.074167	7.47217	1.42707	6.39494	200
473	0.0742368	7.52822	1.42585	6.3973	200
474	0.0743077	7.53639	1.42467	6.39964	200
475	0.0743667	7.53212	1.42348	6.40196	200
476	0.0744303	7.525	1.42225	6.40426	200
477	0.0744981	7.53415	1.42105	6.40657	200
478	0.074573	7.54436	1.41989	6.40891	200
479	0.0746484	7.56158	1.41879	6.41127	200
480	0.0749323	7.77805	1.41858	6.41407	200
481	0.0750152	7.85196	1.41866	6.41702	200
482	0.0751161	7.88786	1.41887	6.42003	200
483	0.0752111	7.92143	1.41921	6.42311	200
484	0.0752937	7.94281	1.41962	6.42622	200
485	0.0753809	7.9625	1.4201	6.42937	200
486	0.0754623	7.96139	1.42056	6.43251	200
487	0.0755447	7.94144	1.42092	6.4356	200
488	0.0756216	7.92454	1.4212	6.43865	200
489	0.075711	7.99523	1.42175	6.44184	200
490	0.07581	8.00702	1.42233	6.445	200
491	0.0758933	8.01049	1.42291	6.44815	200
492	0.0759731	8.01162	1.42348	6.4513	200
493	0.0760554	7.99774	1.42397	6.45442	200
494	0.0761431	7.99038	1.42442	6.45752	200
495	0.076232	7.98837	1.42485	6.46061	200
496	0.0763196	8.05883	1.42555	6.46383	200
497	0.0764033	8.05021	1.4262	6.46703	200
498	0.0765066	8.0636	1.42689	6.47024	200
499	0.0765925	8.06475	1.42756	6.47346	200
500	0.0766601	8.0412	1.42813	6.47662	200
501	0.0767222	8.01621	1.42858	6.47972	200
502	0.0767851	7.99691	1.42893	6.48278	200
503	0.0768467	7.97855	1.4292	6.4858	200
504	0.0769086	8.02035	1.42963	6.48889	200
505	0.0769846	8.01291	1.43	6.49192	200
506	0.0770477	7.95457	1.43013	6.49482	200
507	0.0771083	7.92491	1.43013	6.49766	200
508	0.0771691	7.89876	1.43002	6.50044	200
509	0.0772296	7.87125	1.42978	6.50316	200
510	0.0772906	7.84694	1.42944	6.50582	200
511	0.077351	7.81497	1.42896	6.50842	200
512	0.0774136	7.86364	1.42867	6.51111	200
513	0.0774851	7.86623	1.42838	6.5138	200
514	0.0775462	7.85531	1.42803	6.51646	200
515	0.0776069	7.85008	1.42766	6.51911	200
516	0.0776733	7.84998	1.42728	6.52175	200
517	0.0777453	7.85644	1.42691	6.52439	200
518	0.0778106	7.85912	1.42654	6.52704	200
519	0.0778793	7.86488	1.42619	6.5297	200
520	0.0779405	7.91448	1.42603	6.53244	200
521	0.0780128	7.92034	1.42588	6.53516	200
522	0.0780755	7.91724	1.42571	6.53785	200
523	0.0781485	7.91508	1.42552	6.54054	200
524	0.0782074	7.92328	1.42535	6.54325	200
525	0.0782665	7.91852	1.42515	6.54593	200
526	0.0783361	7.92155	1.42496	6.54862	200
527	0.0783966	7.90365	1.42469	6.55126	200
528	0.0784689	7.9644	1.42464	6.55402	200
529	0.0785426	7.97248	1.42462	6.55679	200
530	0.078602	7.96529	1.42456	6.55955	200
531	0.0786609	7.96057	1.42446	6.56228	200
532	0.0787209	7.95744	1.42435	6.56501	200
533	0.0787799	7.95283	1.42421	6.56772	200
534	0.0788386	7.94802	1.42404	6.57041	200
535	0.0788978	7.9421	1.42383	6.57309	200
536	0.0789564	7.93678	1.4236	6.57576	200
537	0.0791878	8.13153	1.4241	6.57875	200
538	0.0792643	8.16647	1.42473	6.5818	200
539	0.0793429	8.17928	1.4254	6.58487	200
540	0.079421	8.18212	1.42606	6.58795	200
541	0.0794921	8.19234	1.42674	6.59103	200
542	0.0795697	8.2017	1.42745	6.59413	200
543	0.0796538	8.22471	1.42823	6.59726	200
544	0.0797341	8.24573	1.42908	6.60043	200
545	0.0798972	8.38088	1.43043	6.60386	200
546	0.0801073	8.53048	1.43234	6.60756	200
547	0.0802849	8.6453	1.43467	6.61148	200
548	0.0804135	8.7219	1.43727	6.61554	200
549	0.0804763	8.73489	1.43989	6.61962	200
550	0.0805389	8.73497	1.44249	6.62368	200
