segment	rtt	rttvar	srtt	rto
260	164.708	46.8109	36.1133	223.357
261	165.385	46.9695	36.2376	224.115
262	165.573	47.1267	36.361	224.868
263	167.021	47.2861	36.4857	225.63
264	166.929	47.4436	36.6092	226.383
265	167.482	47.6016	36.7331	227.139
266	167.336	47.7576	36.8559	227.886
267	167.956	47.9143	36.9791	228.636
268	168.006	48.0693	37.1013	229.379
269	168.742	48.2252	37.2241	230.125
270	168.607	48.3792	37.3458	230.863
271	169.363	48.5341	37.468	231.604
272	169.183	48.687	37.5891	232.337
273	172.788	48.8461	37.7133	233.098
274	179.299	49.0153	37.8425	233.904
275	192.643	49.2083	37.9837	234.817
276	192.463	49.399	38.1237	235.72
277	192.876	49.5899	38.2638	236.623
278	192.333	49.7778	38.4024	237.514
279	192.731	49.9658	38.5412	238.405
280	192.686	50.1519	38.6788	239.286
281	193.619	50.339	38.8172	240.173
282	193.834	50.5246	38.9546	241.053
283	194.337	50.7105	39.0923	241.934
284	194.406	50.8947	39.229	242.808
285	195.364	51.08	39.3665	243.686
286	195.275	51.2632	39.5028	244.556
287	195.865	51.447	39.6395	245.427
288	195.66	51.6285	39.7749	246.289
289	196.903	51.8117	39.9113	247.158
290	196.687	51.9927	40.0464	248.017
291	197.372	52.1743	40.1821	248.879
292	197.532	52.3544	40.3168	249.734
293	198.541	52.5356	40.4522	250.595
294	198.574	52.7152	40.5867	251.448
295	199.072	52.8951	40.7215	252.302
296	198.709	53.0726	40.8549	253.145
297	199.331	53.2507	40.9888	253.991
298	199.264	53.4269	41.1215	254.829
299	199.918	53.6037	41.2548	255.669
300	199.757	53.7785	41.3868	256.501
301	200.394	53.9539	41.5193	257.335
302	200.258	54.1285	41.6516	258.166
303	200.779	54.3035	41.7842	258.998
304	201.466	54.4791	41.9173	259.834
305	201.971	54.6563	42.0516	260.677
306	202.349	54.8335	42.186	261.52
307	202.892	55.0124	42.3218	262.371
308	202.751	55.1904	42.4573	263.219
309	203.252	55.37	42.594	264.074
310	203.316	55.5492	42.7307	264.928
311	207.692	55.7418	42.8759	265.843
312	220.859	55.9586	43.0337	266.868
313	222.111	56.1769	43.1924	267.9
314	221.877	56.3941	43.3508	268.927
315	222.469	56.6117	43.5096	269.956
316	222.172	56.8281	43.668	270.98
317	222.582	57.0446	43.8266	272.005
318	222.219	57.2597	43.9848	273.024
319	222.747	57.4751	44.1433	274.044
320	218.488	57.6824	44.2978	275.027
321	218.889	57.8896	44.4526	276.011
322	204.742	58.0712	44.5947	276.879
323	205.033	58.254	44.738	277.754
324	201.634	58.434	44.8811	278.617
325	202.103	58.6143	45.0246	279.482
326	201.76	58.7933	45.1676	280.341
327	202.102	58.9724	45.3107	281.2
328	202.227	59.1511	45.4539	282.058
329	202.68	59.3301	45.5974	282.918
330	202.853	59.5088	45.7409	283.776
331	203.135	59.6887	45.8855	284.641
332	203.291	59.8684	46.0302	285.504
333	203.573	60.0492	46.1761	286.373
334	203.458	60.2293	46.3217	287.239
335	203.877	60.4109	46.4687	288.112
336	203.514	60.5912	46.6152	288.98
337	203.93	60.773	46.763	289.855
338	203.871	60.9541	46.9107	290.727
339	204.842	61.1377	47.0602	291.611
340	204.659	61.3204	47.2095	292.491
341	204.994	61.5045	47.36	293.378
342	204.803	61.6876	47.5103	294.261
343	205.277	61.8724	47.662	295.151
344	204.792	62.0644	47.8204	296.078
345	205.244	62.2567	47.9791	297.006
346	205.01	62.4478	48.1374	297.928
347	205.677	62.6395	48.2962	298.854
348	205.64	62.8304	48.4548	299.776
349	206.111	63.0216	48.6137	300.7
350	205.847	63.2115	48.7722	301.618
351	206.569	63.4022	48.9313	302.54
352	207.398	63.5939	49.091	303.467
353	207.762	63.7856	49.251	304.393
354	207.389	63.9758	49.4104	305.314
355	207.698	64.166	49.5699	306.234
356	207.272	64.3545	49.7289	307.147
357	207.632	64.5447	49.8894	308.068
358	207.436	64.7337	50.0495	308.984
359	207.877	64.9245	50.2112	309.909
360	207.53	65.1138	50.3724	310.828
361	207.996	65.3049	50.5352	311.755
362	207.939	65.5124	50.7125	312.762
363	208.641	65.7205	50.8903	313.772
364	208.522	65.9275	51.0678	314.778
365	209.03	66.1348	51.2457	315.785
366	208.832	66.3408	51.4232	316.786
367	209.413	66.5472	51.6011	317.79
368	208.904	66.7516	51.7783	318.785
369	209.131	66.9557	51.9555	319.778
370	208.898	67.1583	52.1322	320.765
371	209.343	67.3611	52.3092	321.754
372	209.279	67.563	52.486	322.738
373	211.376	67.7687	52.6649	323.74
374	211.076	67.9728	52.8433	324.735
375	211.514	68.1771	53.022	325.73
376	211.151	68.3797	53.2001	326.719
377	211.605	68.5824	53.3785	327.708
378	211.319	68.7837	53.5563	328.691
379	211.621	69.0004	53.7481	329.75
380	211.4	69.2156	53.9395	330.802
381	211.784	69.4307	54.131	331.854
382	211.9	69.6451	54.3225	332.903
383	213.434	69.8623	54.5156	333.965
384	213.574	70.0787	54.7086	335.024
385	214.49	70.2965	54.9025	336.088
386	213.973	70.5119	55.0956	337.143
387	215.333	70.7297	55.29	338.209
388	215.766	70.9476	55.4848	339.275
389	216.776	71.1668	55.6805	340.348
390	217.031	71.3857	55.8764	341.419
391	218.008	71.606	56.0731	342.497
392	218.223	71.8258	56.2699	343.573
393	218.769	72.0458	56.4671	344.65
394	218.42	72.2641	56.6637	345.72
395	218.841	72.4823	56.8605	346.79
